timestamp,powerPctLeft,vLeft,vRight
89028.242505,25,123.75754547119140625,117.14766693115234375
89028.247943,25,123.75754547119140625,133.883056640625
89028.253207,25,122.56740570068359375,117.14766693115234375
89028.25846,25,122.56740570068359375,117.14766693115234375
89028.263712,25,122.56740570068359375,133.883056640625
89028.269117,25,122.56740570068359375,117.14766693115234375
89028.274533,25,122.56740570068359375,117.14766693115234375
89028.279949,25,122.56740570068359375,117.14766693115234375
89028.285105,25,122.56740570068359375,133.883056640625
89028.290244,25,122.56740570068359375,117.14766693115234375
89028.295383,25,122.56740570068359375,117.14766693115234375
89028.300744,25,122.56740570068359375,133.883056640625
89028.30612,25,122.56740570068359375,117.14766693115234375
89028.311495,25,122.56740570068359375,117.14766693115234375
89028.316858,25,122.56740570068359375,133.883056640625
89028.322221,25,122.56740570068359375,117.14766693115234375
89028.327583,25,122.56740570068359375,133.883056640625
89028.33315,25,122.56740570068359375,117.14766693115234375
89028.338731,25,123.75733184814453125,117.14766693115234375
89028.344312,25,123.75733184814453125,133.883056640625
89028.351232,25,122.56740570068359375,117.14766693115234375
89028.358241,25,123.75733184814453125,117.14766693115234375
89028.36525,25,123.75733184814453125,133.883056640625
89028.370162,25,123.75733184814453125,117.14766693115234375
89028.374935,25,123.75733184814453125,133.883056640625
89028.379707,25,123.75733184814453125,117.14766693115234375
89028.383743,25,123.75733184814453125,133.883056640625
89028.38773,25,123.75733184814453125,117.14766693115234375
89028.391717,25,123.75733184814453125,117.14766693115234375
89028.396938,25,123.75733184814453125,133.883056640625
89028.402242,25,124.94725799560546875,117.14766693115234375
89028.407545,25,124.94725799560546875,117.14766693115234375
89028.412846,25,123.757110595703125,133.883056640625
89028.418148,25,123.757110595703125,117.14766693115234375
89028.423449,25,123.757110595703125,133.883056640625
89028.428846,25,122.5671844482421875,117.14766693115234375
89028.434249,25,123.757110595703125,117.14766693115234375
89028.439653,25,123.757110595703125,133.883056640625
89028.445133,25,122.5671844482421875,117.14766693115234375
89028.450619,25,122.5671844482421875,117.14766693115234375
89028.456104,25,122.5671844482421875,117.14766693115234375
89028.461265,25,122.5671844482421875,133.883056640625
89028.466403,25,122.5671844482421875,117.14766693115234375
89028.471542,25,122.5671844482421875,117.14766693115234375
89028.476941,25,122.5671844482421875,133.883056640625
89028.482358,25,122.5671844482421875,117.14766693115234375
89028.487774,25,121.37726593017578125,117.14766693115234375
89028.493003,25,122.56740570068359375,117.14766693115234375
89028.498219,25,122.56740570068359375,133.883056640625
89028.503434,25,121.37747955322265625,117.14766693115234375
89028.508751,25,121.37747955322265625,117.14766693115234375
89028.514075,25,120.18755340576171875,117.14766693115234375
89028.519399,25,121.3777008056640625,133.883056640625
89028.524774,25,121.3777008056640625,117.14766693115234375
89028.530153,25,121.3777008056640625,117.14766693115234375
89028.535531,25,120.187774658203125,117.14766693115234375
89028.540813,25,121.3777008056640625,117.14766693115234375
89028.546089,25,121.3777008056640625,133.883056640625
89028.551364,25,121.3777008056640625,117.14766693115234375
89028.556754,25,121.3777008056640625,117.14766693115234375
89028.562151,25,121.3777008056640625,117.14766693115234375
89028.567549,25,121.3777008056640625,133.883056640625
89028.573,25,121.3777008056640625,117.14766693115234375
89028.578456,25,121.3777008056640625,117.14766693115234375
89028.583911,25,121.3777008056640625,117.14766693115234375
89028.58909,25,121.3777008056640625,117.14766693115234375
89028.59425,25,121.3777008056640625,133.883056640625
89028.59941,25,121.3777008056640625,117.14766693115234375
89028.604757,25,121.3777008056640625,117.14766693115234375
89028.610116,25,121.3777008056640625,133.883056640625
89028.615475,25,121.3777008056640625,117.14766693115234375
89028.620784,25,122.56761932373046875,117.14766693115234375
89028.62609,25,122.56761932373046875,133.883056640625
89028.631396,25,121.3777008056640625,117.14766693115234375
89028.637395,25,122.56761932373046875,117.14766693115234375
89028.64344,25,122.56761932373046875,117.14766693115234375
89028.649486,25,121.3777008056640625,133.883056640625
89028.654226,25,122.567840576171875,117.14766693115234375
89028.65888,25,122.567840576171875,133.883056640625
89028.663533,25,122.567840576171875,117.14766693115234375
89028.669109,25,121.3779144287109375,117.14766693115234375
89028.674745,25,121.3779144287109375,117.14766693115234375
89028.680382,25,121.3779144287109375,117.14766693115234375
89028.685591,25,121.3779144287109375,133.883056640625
89028.690771,25,121.3779144287109375,117.14766693115234375
89028.695951,25,121.3779144287109375,117.14766693115234375
89028.701074,25,121.3779144287109375,117.14766693115234375
89028.706194,25,121.3779144287109375,133.883056640625
89028.711313,25,121.3779144287109375,117.14766693115234375
89028.716807,25,121.3779144287109375,117.14766693115234375
89028.722325,25,121.3779144287109375,133.883056640625
89028.727843,25,121.3779144287109375,117.14766693115234375
89028.73406,25,121.3779144287109375,117.14766693115234375
89028.740324,25,120.18798828125,117.14766693115234375
89028.746587,25,121.3779144287109375,117.14766693115234375
89028.750951,25,121.3779144287109375,133.883056640625
89028.755188,25,121.3779144287109375,117.14766693115234375
89028.759425,25,121.3779144287109375,117.14766693115234375
89028.764814,25,120.18798828125,117.14766693115234375
89028.77028,25,121.3779144287109375,117.14766693115234375
89028.775746,25,121.3779144287109375,117.14766693115234375
89028.780959,25,121.3779144287109375,133.883056640625
89028.786155,25,120.187774658203125,117.14766693115234375
89028.791352,25,120.187774658203125,117.14766693115234375
89028.796662,25,120.187774658203125,117.14766693115234375
89028.801979,25,120.187774658203125,133.883056640625
89028.807297,25,120.187774658203125,117.14766693115234375
89028.812672,25,120.187774658203125,117.14766693115234375
89028.81805,25,120.187774658203125,117.14766693115234375
89028.823428,25,120.187774658203125,117.14766693115234375
89028.828718,25,118.9978485107421875,117.14766693115234375
89028.834001,25,118.9978485107421875,117.14766693115234375
89028.839284,25,118.9978485107421875,117.14766693115234375
89028.844608,25,118.9978485107421875,117.14766693115234375
89028.849934,25,118.9978485107421875,117.14766693115234375
89028.855261,25,118.9978485107421875,117.14766693115234375
89028.86068,25,118.9978485107421875,117.14766693115234375
89028.866106,25,118.9978485107421875,133.883056640625
89028.871532,25,118.9978485107421875,117.14766693115234375
89028.876857,25,118.9978485107421875,117.14766693115234375
89028.882175,25,118.9978485107421875,117.14766693115234375
89028.887494,25,118.9978485107421875,117.14766693115234375
89028.892771,25,118.9978485107421875,117.14766693115234375
89028.898046,25,118.9978485107421875,133.883056640625
89028.90332,25,118.9978485107421875,117.14766693115234375
89028.908637,25,118.9978485107421875,117.14766693115234375
89028.913956,25,118.9978485107421875,117.14766693115234375
89028.919275,25,118.9978485107421875,117.14766693115234375
89028.924651,25,120.187774658203125,117.14766693115234375
