t,u,v,seg,a
25.103175781999997,15,0.059647689819335936,21,-1588.8672900315391
25.103186521,15,0.06816878509521485,21,1586.79614069262
25.103191821,15,0.059647689819335936,21,-1607.7538262480305
25.103197111,15,0.06816878509521485,21,1610.79305760506
25.103207719999997,15,0.059647689819335936,21,-1602.010768299405
25.103213044,15,0.06816878509521485,21,1600.506249105109
25.103234295,15,0.059647689819335936,21,-1605.0283051820804
25.103239703,15,0.06816878509521485,21,1575.646315859037
25.103261146,15,0.059647689819335936,21,-1610.4886173875889
25.103266437,15,0.06816878509521485,21,1610.4886184689733
25.103282434,15,0.059647689819335936,21,-1597.5056757780048
25.103287706,15,0.06816878509521485,21,1616.2927308676092
25.103324952999998,15,0.059647689819335936,21,-1610.79305760506
25.103330242,15,0.06816878509521485,21,1611.0976129445744
25.103351573,15,0.07668988037109375,21,1590.6468689993346
25.103356934,15,0.059647689819335936,21,-3178.9200808440137
25.103362295,15,0.06816878509521485,21,1589.4600404220068
25.103431617,15,0.059647689819335936,21,-1612.3169868300286
25.103436889,15,0.06816878509521485,21,1616.2927297784163
25.103479473,15,0.07668988037109375,21,1586.205375140919
25.103484852,15,0.06816878509521485,21,-1584.1411552965828
25.103490232,15,0.059647689819335936,21,-1583.8467062893142
25.103495512000002,15,0.06816878509521485,21,1613.8438011989335
25.10351134,15,0.07668988037109375,21,1609.2720064336343
25.103516639000002,15,0.06816878509521485,21,-1608.0572322202788
25.103565182999997,15,0.07668988037109375,21,1717.6164641595378
25.103570144000003,15,0.06816878509521485,21,-1717.6164616994695
25.103586002,15,0.07668988037109375,21,1607.7538251703156
25.103591306,15,0.06816878509521485,21,-1606.5413421154635
25.10359661,15,0.07668988037109375,21,1606.5413410393735
25.103601914,15,0.059647689819335936,21,-3213.082684230927
25.103607217,15,0.06816878509521485,21,1606.8442905912166
25.103633839999997,15,0.07668988037109375,21,1595.4119601845275
25.103639199,15,0.06816878509521485,21,-1590.053232191977
25.103660744,15,0.07668988037109375,21,1573.900125780499
25.103666158,15,0.06816878509521485,21,-1573.900124747692
25.103703618,15,0.07668988037109375,21,1665.9032795970932
25.103708667,15,0.06816878509521485,21,-1687.6797936917824
25.103745698999997,15,0.07668988037109375,21,1605.9357855849319
25.103751071999998,15,0.06816878509521485,21,-1585.910157291255
25.103793995,15,0.07668988037109375,21,3039.991178328402
25.103799016,15,0.06816878509521485,21,-1697.0912719111755
25.103820402,15,0.059647689819335936,21,-1590.943853129448
25.103825757,15,0.06816878509521485,21,1591.240948178013
25.103847037,15,0.07668988037109375,21,1611.7070692510263
25.103852319,15,0.06816878509521485,21,-1613.2327292307582
25.10389488,15,0.07668988037109375,21,1594.2180118150686
25.103900232,15,0.06816878509521485,21,-1592.132898399285
25.103916344,15,0.07668988037109375,21,1583.2581333980265
25.103921727,15,0.06816878509521485,21,-1582.9640125285864
25.103937436,15,0.07668988037109375,21,1629.2725195062437
25.103942752,15,0.06816878509521485,21,-1602.9148376566611
25.103958786,15,0.07668988037109375,21,1584.7303850161954
25.103964169999998,15,0.06816878509521485,21,-1582.6699998717993
25.103980389,15,0.08521098327636718,21,3144.3170071222603
25.103985808,15,0.06816878509521485,21,-3144.897246514558
25.103991029,15,0.07668988037109375,21,1632.0810722533936
25.103996222000003,15,0.06816878509521485,21,-1640.8810457134584
25.10400669,15,0.07668988037109375,21,1615.3735121767493
25.104011978,15,0.06816878509521485,21,-1611.4022834714428
25.104017265,15,0.07668988037109375,21,1611.7070692510263
25.104022624000002,15,0.06816878509521485,21,-1590.053232191977
25.10403871,15,0.07668988037109375,21,1593.6217080398071
25.105050557,20,0.02556329345703125,23,4789.824521083802
25.105055894,20,0.04260549163818359,23,3193.2168217731105
25.105061232,20,0.059647689819335936,23,3192.618616998794
25.105066569999998,20,0.06816878509521485,23,1596.3085949313877
25.105071908000003,20,0.059647689819335936,23,-1596.3085928065366
25.105082568999997,20,0.05112659072875977,23,-1598.705271201694
25.105087898,20,0.059647689819335936,23,1599.0052700838132
25.105103866,20,0.07668988037109375,23,3201.613855365095
25.105109174000003,20,0.06816878509521485,23,-1605.3306843149585
25.10511448,20,0.08521098327636718,23,3211.8730090504746
25.105130475000003,20,0.09373208618164063,23,1593.6231348949652
25.105167740000002,20,0.10225318145751952,23,1606.8442905912138
25.105173089,20,0.09373208618164063,23,-1593.0258512405874
25.105178444,20,0.10225318145751952,23,1591.2409481780105
25.105221009,20,0.11077427673339844,23,1595.4119591232977
25.105226356,20,0.10225318145751952,23,-1593.6217090986618
25.105242314999998,20,0.11077427673339844,23,1606.541342115466
25.105247618,20,0.10225318145751952,23,-1606.844290591219
25.105258301000003,20,0.11077427673339844,23,1594.5163310784012
25.105263643999997,20,0.10225318145751952,23,-1594.8147641299433
25.10526899,20,0.11077427673339844,23,1593.9198041564132
25.105279683,20,0.10225318145751952,23,-1593.6217080398096
25.105295619,20,0.11929537200927734,23,3208.847779193223
25.105300947,20,0.10225318145751952,23,-3198.6093376097597
25.105311608,20,0.11077427673339844,23,1598.404666103157
25.10531696,20,0.10225318145751952,23,-1592.1328994561622
25.105322316000002,20,0.11077427673339844,23,1590.9438520741542
25.105327671999998,20,0.10225318145751952,23,-1590.9438541847471
25.105338291,20,0.11929537200927734,23,3211.8715711698637
25.105343598,20,0.10225318145751952,23,-3211.2663548053456
25.105354231,20,0.11077427673339844,23,1602.6133667775796
25.105359548,20,0.10225318145751952,23,-1602.6133678484139
25.1053649,20,0.11077427673339844,23,1592.1328983992876
25.105370258,20,0.10225318145751952,23,-1590.3499957255715
25.105375616,20,0.11077427673339844,23,1590.3499957255715
25.10538619,20,0.10225318145751952,23,-1613.232729230761
25.105396816,20,0.11077427673339844,23,1594.5163321384425
25.105402168,20,0.10225318145751952,23,-1592.1328983992876
25.105412864,20,0.11077427673339844,23,1594.5163310784012
25.105428822,20,0.10225318145751952,23,-1615.679801123656
25.105439352,20,0.11077427673339844,23,1618.4416482569975
25.105444673,20,0.10225318145751952,23,-1601.4086217476568
25.105450001,20,0.11077427673339844,23,1599.3046688048826
25.105467409,20,0.10225318145751952,23,-1399.8842249156253
25.105473496,20,0.11077427673339844,23,1399.8842249156253
25.105482866,20,0.10225318145751952,23,-1855.639215209866
25.105487457,20,0.11077427673339844,23,1856.0434058804954
25.105492726,20,0.10225318145751952,23,-1617.212995215543
25.105498092999998,20,0.11077427673339844,23,1587.6831156239728
25.105508852,20,0.10225318145751952,23,-1580.0287925324433
25.105514248,20,0.11929537200927734,23,3158.3006959726554
25.105519645,20,0.10225318145751952,23,-3157.715498237545
25.105530119,20,0.11929537200927734,23,3260.415258244867
