t,u,v,seg
48799.854056,6,0.014776535034179687,11
48799.855586,6,0.014776535034179687,11
48799.857214,6,0.01500040340423584,11
48799.859264,6,0.01500040340423584,11
48799.861313,6,0.01500040340423584,11
48799.863362,6,0.01500040340423584,11
48799.865397,6,0.01500040340423584,11
48799.867402,6,0.01500040340423584,11
48799.869406,6,0.01500040340423584,11
48799.871411,6,0.015224271774291993,11
48799.873426,6,0.015224271774291993,11
48799.875457,6,0.015224271774291993,11
48799.877488,6,0.01500040340423584,11
48799.879519,6,0.014776535034179687,11
48799.881544,6,0.014776535034179687,11
48799.883563,6,0.014776535034179687,11
48799.885582,6,0.014776535034179687,11
48799.887602,6,0.014776535034179687,11
48799.889671,6,0.014776535034179687,11
48799.891764,6,0.014776535034179687,11
48799.893857,6,0.014776535034179687,11
48799.89595,6,0.014552667617797851,11
48799.897787,6,0.014552667617797851,11
48799.899566,6,0.014776535034179687,11
48799.901345,6,0.01500040340423584,11
48799.903124,6,0.01500040340423584,11
48799.90514,6,0.01500040340423584,11
48799.90717,6,0.014776535034179687,11
48799.909201,6,0.014776535034179687,11
48799.91123,6,0.014776535034179687,11
48799.913228,6,0.014776535034179687,11
48799.915227,6,0.014776535034179687,11
48799.917225,6,0.014552667617797851,11
48799.91923,6,0.014552667617797851,11
48799.921262,6,0.014552667617797851,11
48799.923295,6,0.014552667617797851,11
48799.925327,6,0.014552667617797851,11
48799.927348,6,0.014776535034179687,11
48799.929346,6,0.014552667617797851,11
48799.931343,6,0.014552667617797851,11
48799.93334,6,0.014328686714172364,11
48799.935362,6,0.014328686714172364,11
48799.937418,6,0.014328686714172364,11
48799.939474,6,0.014328686714172364,11
48799.941529,6,0.014328686714172364,11
48799.943698,6,0.014328686714172364,11
48799.945955,6,0.014328686714172364,11
48799.948212,6,0.014328686714172364,11
48799.950469,6,0.014552555084228515,11
48799.952376,6,0.014552555084228515,11
48799.954123,6,0.014552555084228515,11
48799.95587,6,0.014552555084228515,11
48799.957617,6,0.014328686714172364,11
48799.959524,6,0.014328686714172364,11
48799.961467,6,0.014328686714172364,11
48799.963411,6,0.014328686714172364,11
48799.965354,6,0.014328686714172364,11
48799.967295,6,0.014328686714172364,11
48799.969235,6,0.01410481834411621,11
48799.971176,6,0.01410481834411621,11
48799.973121,6,0.01410481834411621,11
48799.975135,6,0.01410481834411621,11
48799.977149,6,0.014328686714172364,11
48799.979163,6,0.014328686714172364,11
48802.073474,7,0.015224159240722656,13
48802.075506,7,0.01500029182434082,13
48802.077547,7,0.01500029182434082,13
48802.079588,7,0.01500029182434082,13
48802.081623,7,0.01500029182434082,13
48802.083579,7,0.01500029182434082,13
48802.085535,7,0.01500029182434082,13
48802.08749,7,0.015000290870666504,13
48802.089463,7,0.015000290870666504,13
48802.091507,7,0.015000290870666504,13
48802.093552,7,0.014776310920715331,13
48802.095597,7,0.014776310920715331,13
48802.097637,7,0.014776310920715331,13
48802.099666,7,0.014776310920715331,13
48802.101695,7,0.014776310920715331,13
48802.103724,7,0.014776310920715331,13
48802.105739,7,0.014552443504333497,13
48802.107737,7,0.014776311874389648,13
48802.109734,7,0.014776311874389648,13
48802.111731,7,0.015000179290771484,13
48802.113742,7,0.014776198387145997,13
48802.115762,7,0.014776198387145997,13
48802.117782,7,0.014776198387145997,13
48802.119803,7,0.014776198387145997,13
48802.12182,7,0.014776198387145997,13
48802.123835,7,0.014776198387145997,13
48802.12585,7,0.014776198387145997,13
48802.127865,7,0.01455233097076416,13
48802.129761,7,0.014328462600708008,13
48802.131629,7,0.014328462600708008,13
48802.133497,7,0.014328462600708008,13
48802.135365,7,0.014328462600708008,13
48802.137366,7,0.014328462600708008,13
48802.139377,7,0.014328462600708008,13
48802.141387,7,0.014104594230651855,13
48802.143399,7,0.014104594230651855,13
48802.145423,7,0.014104594230651855,13
48802.147448,7,0.014104594230651855,13
48802.149472,7,0.014104594230651855,13
48802.1515,7,0.014104594230651855,13
48802.153542,7,0.014104594230651855,13
48802.155584,7,0.013880725860595702,13
48802.157625,7,0.013880725860595702,13
48802.159719,7,0.013880725860595702,13
48802.161927,7,0.013880725860595702,13
48802.164135,7,0.013656745910644532,13
48802.166343,7,0.013656745910644532,13
48802.16855,7,0.013656745910644532,13
48802.170758,7,0.013656745910644532,13
48802.172966,7,0.013656745910644532,13
48802.175174,7,0.013656745910644532,13
48802.177382,7,0.013656745910644532,13
48802.17959,7,0.013880614280700684,13
48802.181798,7,0.013656745910644532,13
48802.184006,7,0.013656745910644532,13
